tag,n,start,load,style.load,idle

idle,20,605.2000000178814,3261.4000000059605,811,3262.2999999821186

(index):64 idle,10,1081.5999999940395,3572.9000000059605,871.6000000238419,3574.2000000178814

(index):64 idle,1000,1085.5,4118.9000000059605,1278.800000011921,4119.5999999940395

(index):64 idle,500,754.2999999821186,4255.4000000059605,1223.9000000059605,4257.800000011921

(index):64 idle,100,1110.2000000178814,3127.7999999821186,873.1999999880791,3128.5

(index):64 idle,1,753.5,3085.5,915.2000000178814,3085.9000000059605

(index):64 idle,500,926.1999999880791,4484,860.4000000059605,4484.699999988079

(index):64 idle,20,1639.0999999940395,4141.800000011921,1613.800000011921,4142.300000011921

(index):64 idle,1000,755.7999999821186,3495.9000000059605,840.5,3496.4000000059605

(index):64 idle,10,758.3999999761581,2842.2000000178814,758.7000000178814,2843

(index):64 idle,100,694.1999999880791,2516.800000011921,705.5,2517.0999999940395

(index):64 idle,1000,664.1000000238419,2898.2999999821186,693.2999999821186,3358.5

(index):64 idle,1,626,3101.4000000059605,813.0999999940395,3101.800000011921

(index):64 idle,1,988.5999999940395,3491.4000000059605,955,3491.800000011921

(index):64 idle,20,877,3000.7999999821186,833.5999999940395,3001.399999976158

(index):64 idle,100,989.7999999821186,3305.800000011921,981.1000000238419,3357.300000011921

(index):64 idle,1,948.3999999761581,2894.7000000178814,781.5,3302.4000000059605

(index):64 idle,10,740.4000000059605,3142,740,3142.7999999821186

(index):64 idle,100,1186.2999999821186,3089.2000000178814,846.7000000178814,3089.5

(index):64 idle,20,740.5,2911.899999976158,848.8999999761581,2912.5999999940395

(index):64 idle,500,813.5,3306.9000000059605,904.8000000119209,3307.4000000059605

(index):64 idle,1,760.2999999821186,2905.5999999940395,808.4000000059605,3287.9000000059605

(index):64 idle,20,623.5,3201.0999999940395,839.6999999880791,3202.199999988079

(index):64 idle,1,881,2702,808.6999999880791,2702.699999988079

(index):64 idle,500,814.6999999880791,3298.4000000059605,913.4000000059605,3298.699999988079

(index):64 idle,20,735.4000000059605,3150.5999999940395,841.4000000059605,3151.199999988079

(index):64 idle,500,835.0999999940395,3213.699999988079,855,3214.4000000059605

(index):64 idle,10,747.7000000178814,3123.0999999940395,877.7999999821186,3123.699999988079

(index):64 idle,100,767.7000000178814,2884.399999976158,821.3999999761581,2884.7999999821186

(index):64 idle,10,748.5999999940395,3009.0999999940395,839.1999999880791,3009.800000011921

(index):64 idle,20,946.9000000059605,3509,876.5,3509.699999988079

(index):64 idle,500,1078.5,3997.0999999940395,1364.5,3998.0999999940395

(index):64 idle,100,871.5999999940395,3345.9000000059605,866,3354.5999999940395

(index):64 idle,1000,774.2000000178814,3420.2999999821186,785.8999999761581,3421.0999999940395

(index):64 idle,20,705.1000000238419,2855.0999999940395,860.7999999821186,2855.5999999940395

(index):64 idle,10,817,2988.5,875.7000000178814,2989

(index):64 idle,10,696.7000000178814,3574.0999999940395,753.1999999880791,3574.899999976158

(index):64 idle,1000,1007.7000000178814,3423.5,991,3801.199999988079

(index):64 idle,1,628.1000000238419,2653.7999999821186,751.1999999880791,2654.5

(index):64 idle,20,732.7000000178814,3135.5,823,3137.0999999940395

(index):64 idle,20,789.5,2920.9000000059605,888.5,2921.800000011921

(index):64 idle,20,1314.5999999940395,4248.5999999940395,1342.5999999940395,4249.200000017881

(index):64 idle,100,1197.300000011921,3244.699999988079,869.0999999940395,3245.399999976158

(index):64 idle,1000,1206.0999999940395,3183.300000011921,1117.199999988079,3183.699999988079

(index):64 idle,500,865.6999999880791,2794.0999999940395,767,2794.4000000059605

(index):64 idle,100,593.6999999880791,2596.300000011921,710.1999999880791,2596.699999988079

(index):64 idle,10,975.5,4660.0999999940395,1250.2000000178814,4661.4000000059605

(index):64 idle,10,816.5,2855.600000023842,842.8000000119209,2855.9000000059605

(index):64 idle,100,747.9000000059605,3506.5999999940395,794.2999999821186,3507.0999999940395

(index):64 idle,10,741.9000000059605,3391,768.0999999940395,3391.5999999940395

(index):64 idle,500,1241.3999999761581,5444.600000023842,1914,5445.100000023842

(index):64 idle,100,1342.8999999761581,4876,1975.1000000238419,4876.600000023842

(index):64 idle,1,1066.7999999821186,3958.0999999940395,1004.2000000178814,3958.9000000059605

(index):64 idle,500,1164.4000000059605,4422.0999999940395,1225.699999988079,4423.5



idle,10,778.1999999880791,2954.800000011921,673.0999999940395,2955.5

(index):64 idle,1000,695.7999999821186,2961.7000000178814,721.6000000238419,2963.600000023842

(index):64 idle,10,864.2999999821186,2391.4000000059605,693.5999999940395,2392.2000000178814

(index):64 idle,100,658.0999999940395,5049.9000000059605,1466.199999988079,5058.5999999940395

(index):64 idle,100,1135.7999999821186,4086.0999999940395,1391.2000000178814,4086.9000000059605

(index):64 idle,100,1239.7000000178814,3941.2999999821186,1296.0999999940395,4249.0999999940395

(index):64 idle,1000,595.3999999761581,4912.100000023842,1004.7000000178814,4912.800000011921

(index):64 idle,10,841.7999999821186,2974.7000000178814,719.6000000238419,2975.5

(index):64 idle,100,876.2000000178814,2745.399999976158,601,2745.5999999940395

(index):64 idle,1,1029.7000000178814,3924,1097.0999999940395,3924.5

(index):64 idle,500,712.4000000059605,2833,901.5999999940395,3134.9000000059605

(index):64 idle,100,588.5999999940395,2613.800000011921,699.5,2615

(index):64 idle,20,769.0999999940395,3101,663.3000000119209,3101.5

(index):64 idle,500,612.2000000178814,2926.9000000059605,723.5999999940395,2927.7999999821186

(index):64 idle,20,704,2731.699999988079,726.4000000059605,2732.199999988079

(index):64 idle,1000,621.6999999880791,2464.300000011921,683.9000000059605,2741.5

(index):64 idle,500,595.0999999940395,2727.7000000178814,614.7000000178814,2728.300000011921

(index):64 idle,1,672.8000000119209,2490.199999988079,527.5,2761.199999988079

(index):64 idle,1000,560.5999999940395,2704.7999999821186,673.9000000059605,2705.4000000059605

(index):64 idle,1,594.5999999940395,2576.9000000059605,682.6000000238419,2577.4000000059605

(index):64 idle,100,734.2999999821186,2667.4000000059605,632.3000000119209,2667.800000011921

(index):64 idle,10,803.5,2464.5999999940395,631.9000000059605,2465.0999999940395

(index):64 idle,100,595.2999999821186,2419.9000000059605,665.5,2461.7000000178814

(index):64 idle,1000,793.3999999761581,3575.7000000178814,614.5,3576.2000000178814

(index):64 idle,500,917.4000000059605,3305.800000011921,939.8000000119209,3306.2000000178814

(index):64 idle,1,833.6000000238419,2832.699999988079,666,3130.5999999940395

(index):64 idle,500,599.7000000178814,2691.7999999821186,654.3999999761581,2692.399999976158

(index):64 idle,100,717.4000000059605,2966.699999988079,967.3000000119209,2967.300000011921



idle,10,774.5999999940395,3242.0999999940395,1050.199999988079,3242.4000000059605

(index):64 idle,1000,875.7999999821186,3789.4000000059605,850.3000000119209,4174

(index):64 idle,1,589.9000000059605,2596.199999988079,716.3000000119209,2596.800000011921

(index):64 idle,10,796.6999999880791,2493.5,541.4000000059605,2530.800000011921

(index):64 idle,500,745.0999999940395,2544.7000000178814,574.3000000119209,2545

(index):64 idle,100,686.5999999940395,2537.9000000059605,567,2812.7000000178814

(index):64 idle,500,586.0999999940395,2535.7000000178814,590.1000000238419,2855.5

(index):64 idle,10,605.8000000119209,2264.9000000059605,587.3000000119209,2265.300000011921

(index):64 idle,100,595,2460.199999988079,652.1999999880791,2494.800000011921

(index):64 idle,100,765.1000000238419,2533,641.7999999821186,2814.5

(index):64 idle,10,587,2495.300000011921,597.1999999880791,2495.800000011921

