tag,n,start,load,style.load,idle

idle,1000,3790.9000000059605,15701.90000000596,4226.0999999940395,15704

(index):64 idle,10000,3793.2000000178814,29186.69999998808,4370.399999976158,29188.09999999404

(index):64 idle,10000,5259.199999988079,29518.5,2802.600000023842,29519.90000000596

(index):64 idle,1,5539.300000011921,16194.09999999404,4664.199999988079,16195.90000000596

​(index):64  idle,1000,2214.5999999940395,15247.59999999404,4000.199999988079,15251.699999988079

(index):64 idle,10,5462.5,12883.699999988079,2719.0999999940395,12886.40000000596

(index):64 idle,1000,3891.2999999821186,15657.40000000596,4074.5999999940395,15659.09999999404

(index):64 idle,1000,4264.0999999940395,17681.59999999404,4241,17683.79999998212

(index):64 idle,10,3410.300000011921,12410.09999999404,2692.699999988079,12411.59999999404

(index):64 idle,20,3925.699999988079,15883.800000011921,4240.100000023842,15886.100000023842

(index):64 idle,1000,2111.2999999821186,17192.40000000596,4390.4000000059605,17193.90000000596

(index):64 idle,10000,3539.2000000178814,26748.09999999404,2660,26751.09999999404

(index):64 idle,10,5752.300000011921,11812.199999988079,2413.199999988079,11814.09999999404

(index):64 idle,10,5378.699999988079,12287.200000017881,2702.5999999940395,12289

(index):64 idle,10,3637.7999999821186,13754.800000011921,4118.5999999940395,13756.40000000596

(index):64 idle,1,5424.300000011921,17939.79999998212,3051.199999988079,17942.5

(index):64 idle,1,6927.600000023842,15691.199999988079,2996.5,15693.5

(index):64 idle,10000,9270.5,33805.90000000596,4190.800000011921,33808.09999999404

(index):64 idle,100,5338.100000023842,17520.29999998212,5566.299999982119,17523

(index):64 idle,10000,4661.4000000059605,37929.29999998212,5867.399999976158,37930.89999997616

(index):64 idle,1,5027.5999999940395,15512.09999999404,3780,15513.799999982119

(index):64 idle,10000,4464.600000023842,33689.79999998212,5338.0999999940395,33691.69999998808

(index):64 idle,100,4391.300000011921,20363.5,4827.799999982119,20369.09999999404


(index):64 idle,1000,4612.199999988079,17095,3662.9000000059605,17097.40000000596

(index):64 idle,10,5221.5,20168,6514.4000000059605,20170.90000000596

(index):64 idle,1,4730,14286.800000011921,3256.0999999940395,14289.59999999404

(index):64 idle,1000,6065.899999976158,15169.40000000596,3078.4000000059605,15171.40000000596

(index):64 idle,100,6020.899999976158,13413.40000000596,2811.600000023842,13414.800000011921

(index):64 idle,10,4246.799999982119,15647.700000017881,4866.9000000059605,15654.800000011921

(index):64 idle,10000,3994.0999999940395,30615.600000023842,4611.100000023842,30617.90000000596

(index):64 idle,500,3876.0999999940395,14908.40000000596,4483.800000011921,14912.40000000596

(index):64 idle,100,3695.4000000059605,13603.199999988079,4202.4000000059605,13604.59999999404

(index):64 idle,10,3828.7999999821186,13879.90000000596,4341.600000023842,13881.800000011921

(index):64 idle,10000,3643.2999999821186,33940,4349.100000023842,33941.5

(index):64 idle,20,2473.5999999940395,24439.90000000596,7993.600000023842,24443.70000001788

(index):64 idle,500,4144,17135.09999999404,4581.800000011921,17136.59999999404

(index):64 idle,500,4246.700000017881,17863,4435.899999976158,17865.79999998212

(index):64 idle,1,6192.5999999940395,15071.40000000596,4330.700000017881,15073.5

(index):64 idle,100,3797.2000000178814,15564,4422,15566.299999982119

(index):64 idle,10,4585.5,17245.5,4775,17247.80000001192

(index):64 idle,10,1873.199999988079,13103.5,3920.5,13105.300000011921

(index):64 idle,20,7075.700000017881,15294.5,2372.9000000059605,15296.40000000596

(index):64 idle,5000,8550.59999999404,61475.5,8252.800000011921,61479.30000001192

(index):64 idle,500,5730.700000017881,21083.79999998212,5758.5999999940395,21086.29999998212

(index):64 idle,1,14084,20255,6790.4000000059605,20257.600000023842

(index):64 idle,10,6990.100000023842,27693.399999976158,6087.399999976158,27696.19999998808

(index):64 idle,1000,4689.299999982119,20104.600000023842,5305.700000017881,20106.30000001192

(index):64 idle,5000,9599.40000000596,27841.90000000596,5711.300000011921,27846.19999998808

(index):64 idle,500,6218,26879.09999999404,11981.5,26880.80000001192

